repo_full_name,html_url,description,homepage,topics,archived,disabled,is_fork,license_spdx,language,stars,forks,watchers,open_issues,size_kb,created_at,updated_at,pushed_at,days_since_last_commit,days_since_last_update,risk_score,action,risk_flags,why,updated_at_run
TencentARC/GFPGAN,https://github.com/TencentARC/GFPGAN,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.,,"deep-learning,face-restoration,gan,gfpgan,image-restoration,pytorch,super-resolution",0,0,0,NOASSERTION,Python,37383,6280,37383,403,5467,2021-03-19T06:18:20Z,2026-03-01T17:12:06Z,2024-07-26T18:44:02Z,583,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,No commits for 583 days and unclear license (NOASSERTION) present legal and maintenance concerns.,2026-03-02T04:49:16.671045+00:00
openai/gym,https://github.com/openai/gym,A toolkit for developing and comparing reinforcement learning algorithms.,https://www.gymlibrary.dev,,0,0,0,NOASSERTION,Python,37061,8709,37061,128,7123,2016-04-27T14:59:16Z,2026-03-02T02:21:46Z,2024-10-11T20:07:05Z,506,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,No commits for 506 days and unclear license (NOASSERTION) raise legal and maintenance risks.,2026-03-02T04:49:16.671252+00:00
XingangPan/DragGAN,https://github.com/XingangPan/DragGAN,Official Code for DragGAN (SIGGRAPH 2023),https://vcai.mpi-inf.mpg.de/projects/DragGAN/,"artificial-intelligence,generative-adversarial-network,generative-models,image-manipulation",0,0,0,NOASSERTION,Python,35976,3439,35976,154,34847,2023-05-18T10:08:02Z,2026-03-02T01:45:19Z,2024-05-18T17:51:40Z,652,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,No commits for 652 days and unclear license (NOASSERTION) indicate low maintenance and legal uncertainty.,2026-03-02T04:49:16.671774+00:00
jondot/awesome-react-native,https://github.com/jondot/awesome-react-native,"Awesome React Native components, news, tools, and learning material!",http://www.awesome-react-native.com,"awesome-list,mobile,react,react-native",0,0,0,,JavaScript,35616,4028,35616,107,5250,2015-03-26T19:58:06Z,2026-03-01T05:34:04Z,2024-07-05T13:12:41Z,604,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,No commits for 604 days and unclear license (empty spdx) suggest abandonment and legal risk.,2026-03-02T04:49:17.039686+00:00
unknwon/the-way-to-go_ZH_CN,https://github.com/unknwon/the-way-to-go_ZH_CN,《The Way to Go》中文译本，中文正式名《Go 入门指南》,,"book,go,translation,tutorial",0,0,0,,Go,35166,8572,35166,47,12602,2013-03-24T17:18:38Z,2026-03-02T03:34:40Z,2024-08-14T07:04:25Z,564,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,No commits for 564 days and unclear license (empty spdx) pose maintenance and legal concerns.,2026-03-02T04:49:17.901053+00:00
chenfei-wu/TaskMatrix,https://github.com/chenfei-wu/TaskMatrix,,,,0,0,0,NOASSERTION,Python,34244,3257,34244,256,41169,2023-03-02T09:04:28Z,2026-03-02T01:08:02Z,2024-01-06T02:41:20Z,786,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,No commits for 786 days and unclear license (NOASSERTION) indicate low activity and legal risk.,2026-03-02T04:49:16.792580+00:00
shadowsocks/shadowsocks,https://github.com/shadowsocks/shadowsocks,,,,0,0,0,,Python,33629,18282,33629,451,891,2012-04-20T13:10:49Z,2026-03-02T03:12:09Z,2024-04-01T09:07:32Z,699,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,No commits for 699 days and unclear license (empty spdx) raise maintenance and legal concerns.,2026-03-02T04:49:16.792874+00:00
donnemartin/interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,120+ interactive Python coding interview challenges (algorithms and data structures).  Includes Anki flashcards.,,"algorithm,coding,competitive-programming,data-structure,development,interview,interview-practice,interview-questions,programming,python",0,0,0,NOASSERTION,Python,31204,4641,31204,75,7768,2015-04-28T21:36:39Z,2026-03-01T12:47:02Z,2024-05-08T23:07:36Z,662,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,No commits for 662 days and unclear license (NOASSERTION) suggest low maintenance and legal uncertainty.,2026-03-02T04:49:16.794042+00:00
ascoders/weekly,https://github.com/ascoders/weekly,前端精读周刊。帮你理解最前沿、实用的技术。,,"awesome,frontend,weekly",0,0,0,,JavaScript,30873,3284,30873,3,8812,2017-03-20T06:10:04Z,2026-03-02T04:36:08Z,2024-09-09T01:39:37Z,539,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,No commits for 539 days and unclear license (empty spdx) indicate abandonment and legal risk.,2026-03-02T04:49:17.160662+00:00
aosabook/500lines,https://github.com/aosabook/500lines,500 Lines or Less,,,0,0,0,NOASSERTION,JavaScript,29597,5857,29597,58,60251,2013-11-04T02:02:53Z,2026-03-02T02:20:39Z,2023-08-19T11:18:34Z,925,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,No commits for 925 days and unclear license (NOASSERTION) pose significant maintenance and legal risks.,2026-03-02T04:49:17.161343+00:00
donnemartin/data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines.",,"aws,big-data,caffe,data-science,deep-learning,hadoop,kaggle,keras,machine-learning,mapreduce,matplotlib,numpy,pandas,python,scikit-learn,scipy,spark,tensorflow,theano",0,0,0,NOASSERTION,Python,28899,8033,28899,42,49025,2015-01-23T19:38:29Z,2026-03-01T14:19:38Z,2024-03-20T13:52:34Z,711,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,No commits for 711 days and unclear license (NOASSERTION) indicate low activity and legal uncertainty.,2026-03-02T04:49:16.794800+00:00
Advanced-Frontend/Daily-Interview-Question,https://github.com/Advanced-Frontend/Daily-Interview-Question,我是依扬（木易杨），公众号「高级前端进阶」作者，每天搞定一道前端大厂面试题，祝大家天天进步，一年后会看到不一样的自己。,https://muyiy.cn/question/,"css,interview,javascript,react,vue",0,0,0,,JavaScript,27503,3263,27503,266,199,2019-01-19T10:49:00Z,2026-03-02T02:22:59Z,2020-11-09T01:07:00Z,1939,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,No commits for 1939 days and unclear license (empty spdx) show complete abandonment and legal risk.,2026-03-02T04:49:17.162398+00:00
MostlyAdequate/mostly-adequate-guide,https://github.com/MostlyAdequate/mostly-adequate-guide,Mostly adequate guide to FP (in javascript),,"functional-programming,javascript,reactive-programming,tutorial",0,0,0,NOASSERTION,JavaScript,23833,1899,23833,89,5421,2015-05-06T01:44:15Z,2026-03-01T20:00:41Z,2024-09-17T06:18:40Z,530,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,No commits for 530 days and unclear license (NOASSERTION) raise maintenance and legal concerns.,2026-03-02T04:49:17.285005+00:00
Tencent/wepy,https://github.com/Tencent/wepy,小程序组件化开发框架,https://wepyjs.gitee.io/wepy-docs/,"weapp,wepy",0,0,0,NOASSERTION,JavaScript,22654,3038,22654,387,9541,2016-11-14T08:06:56Z,2026-03-01T10:56:58Z,2023-09-19T02:09:28Z,895,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,No commits for 895 days and unclear license (NOASSERTION) indicate low maintenance and legal risk.,2026-03-02T04:49:17.286143+00:00
jlmakes/scrollreveal,https://github.com/jlmakes/scrollreveal,Animate elements as they scroll into view.,https://scrollrevealjs.org/,"animation,css,javascript,reveal,scroll,scrollreveal,transform,transition",0,0,0,,JavaScript,22529,2222,22529,40,1140,2014-01-16T17:37:20Z,2026-02-28T14:46:48Z,2024-04-05T17:55:48Z,695,1,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,No commits for 695 days and unclear license (empty spdx) suggest abandonment and legal uncertainty.,2026-03-02T04:49:17.286231+00:00
pingcap/talent-plan,https://github.com/pingcap/talent-plan,open source training courses about distributed database and distributed systems,https://tidb.io/talent-plan,"distributed-database,distributed-systems,golang,open-source,pingcap,rust,talent-plan",0,0,0,,Rust,10837,1374,10837,127,4110,2019-01-22T01:29:49Z,2026-02-28T06:32:15Z,2023-09-18T11:33:20Z,895,1,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,No commits for 895 days and unclear license (empty spdx) pose maintenance and legal risks.,2026-03-02T04:49:18.759748+00:00
vuejs/vue,https://github.com/vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",http://v2.vuejs.org,"framework,frontend,javascript,vue",0,0,0,MIT,TypeScript,209931,33870,209931,622,32152,2013-07-29T03:24:51Z,2026-03-02T04:22:59Z,2024-10-10T07:24:15Z,507,0,45,OK,NO_COMMIT_365D,"No commits for 507 days; 622 open issues, 209931★",2026-03-02T04:49:17.406914+00:00
facebook/create-react-app,https://github.com/facebook/create-react-app,Set up a modern web app by running one command.,https://create-react-app.dev,"build-tools,react,zero-configuration",0,0,0,MIT,JavaScript,103831,27121,103831,2370,25186,2016-07-17T14:55:11Z,2026-03-01T23:36:17Z,2025-02-15T01:32:11Z,380,0,45,OK,NO_COMMIT_365D,"No commits for 380 days; 2370 open issues, 103831★",2026-03-02T04:49:16.915625+00:00
nvbn/thefuck,https://github.com/nvbn/thefuck,Magnificent app which corrects your previous console command.,,"python,shell",0,0,0,MIT,Python,95571,3845,95571,408,4043,2015-04-08T15:08:04Z,2026-03-02T04:21:37Z,2024-07-19T14:56:13Z,590,0,45,OK,NO_COMMIT_365D,"No commits for 590 days; 408 open issues, 95571★",2026-03-02T04:49:16.424840+00:00
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,Clean Code concepts adapted for JavaScript,,"best-practices,clean-architecture,clean-code,composition,inheritance,javascript,principles",0,0,0,MIT,JavaScript,94305,12502,94305,122,520,2016-11-25T22:25:41Z,2026-03-02T04:28:33Z,2024-07-29T07:24:37Z,580,0,45,OK,NO_COMMIT_365D,"No commits for 580 days; 122 open issues, 94305★",2026-03-02T04:49:16.915859+00:00
d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。,http://zh.d2l.ai,"book,chinese,computer-vision,deep-learning,machine-learning,natural-language-processing,notebook,python",0,0,0,Apache-2.0,Python,75885,12133,75885,121,316965,2017-08-23T04:40:24Z,2026-03-02T04:37:33Z,2024-07-30T09:32:19Z,579,0,45,OK,NO_COMMIT_365D,"No commits for 579 days; 121 open issues, 75885★",2026-03-02T04:49:16.425436+00:00
FiloSottile/mkcert,https://github.com/FiloSottile/mkcert,A simple zero-config tool to make locally trusted development certificates with any names you'd like.,https://mkcert.dev,"certificates,chrome,firefox,https,ios,linux,local-development,localhost,macos,root-ca,tls,windows",0,0,0,BSD-3-Clause,Go,58207,3044,58207,165,1799,2018-06-25T05:33:03Z,2026-03-02T00:35:19Z,2024-08-13T13:37:46Z,565,0,45,OK,NO_COMMIT_365D,"No commits for 565 days; 165 open issues, 58207★",2026-03-02T04:49:17.899582+00:00
scutan90/DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions,深度学习500问，以问答形式对常用的概率知识、线性代数、机器学习、深度学习、计算机视觉等热点问题进行阐述，以帮助自己及有需要的读者。 全书分为18个章节，50余万字。由于水平有限，书中不妥之处恳请广大读者批评指正。   未完待续............ 如有意合作，联系scutjy2015@163.com                     版权所有，违权必究       Tan 2018.06,https://github.com/scutan90/DeepLearning-500-questions,,0,0,0,GPL-3.0,JavaScript,57170,15972,57170,121,207074,2018-06-27T06:36:45Z,2026-03-02T03:16:04Z,2024-06-26T12:10:14Z,613,0,45,OK,NO_COMMIT_365D,"No commits for 613 days; 121 open issues, 57170★",2026-03-02T04:49:16.916877+00:00
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,The world's simplest facial recognition api for Python and the command line,,"face-detection,face-recognition,machine-learning,python",0,0,0,MIT,Python,56171,13710,56171,833,103959,2017-03-03T21:52:39Z,2026-03-02T02:33:24Z,2024-08-21T06:22:36Z,557,0,45,OK,NO_COMMIT_365D,"No commits for 557 days; 833 open issues, 56171★",2026-03-02T04:49:16.547407+00:00
xai-org/grok-1,https://github.com/xai-org/grok-1,Grok open release,,,0,0,0,Apache-2.0,Python,51524,8490,51524,126,1008,2024-03-17T08:53:38Z,2026-03-01T21:57:45Z,2024-08-30T04:17:25Z,549,0,45,OK,NO_COMMIT_365D,"No commits for 549 days; 126 open issues, 51524★",2026-03-02T04:49:16.548203+00:00
Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,Semantic is a UI component framework based around useful principles from natural language.,http://www.semantic-ui.com,"button,css-framework,dropdown,flexbox,popup,semantic,sidebar,tooltip,ui,ui-components",0,0,0,MIT,JavaScript,51141,4904,51141,1074,113201,2013-04-08T23:32:04Z,2026-03-01T19:34:59Z,2024-11-27T21:01:48Z,459,0,45,OK,NO_COMMIT_365D,"No commits for 459 days; 1074 open issues, 51141★",2026-03-02T04:49:16.917359+00:00
agalwood/Motrix,https://github.com/agalwood/Motrix,A full-featured download manager.,https://motrix.app,"aria2,bittorrent,bt,download,download-manager,electron,linux,mac,macos,magnet,motrix,torrent,windows",0,0,0,MIT,JavaScript,50947,4826,50947,774,69808,2018-12-18T11:45:05Z,2026-03-02T01:17:44Z,2024-07-11T12:09:20Z,598,0,45,OK,NO_COMMIT_365D,"No commits for 598 days; 774 open issues, 50947★",2026-03-02T04:49:16.917448+00:00
algorithm-visualizer/algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,:fireworks:Interactive Online Platform that Visualizes Algorithms from Code,https://algorithm-visualizer.org/,"algorithm,animation,data-structure,visualization",0,0,0,MIT,JavaScript,48374,7578,48374,78,21182,2016-05-15T00:27:45Z,2026-03-02T03:50:59Z,2024-06-09T06:54:22Z,630,0,45,OK,NO_COMMIT_365D,"No commits for 630 days; 78 open issues, 48374★",2026-03-02T04:49:16.917617+00:00
moment/moment,https://github.com/moment/moment,"Parse, validate, manipulate, and display dates in javascript.",momentjs.com,,0,0,0,MIT,JavaScript,48058,7017,48058,290,22191,2011-03-01T02:46:06Z,2026-03-02T04:22:16Z,2024-08-14T17:12:19Z,564,0,45,OK,NO_COMMIT_365D,"No commits for 564 days; 290 open issues, 48058★",2026-03-02T04:49:16.917658+00:00
minimaxir/big-list-of-naughty-strings,https://github.com/minimaxir/big-list-of-naughty-strings,The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as user-input data.,,,0,0,0,MIT,Python,47607,2164,47607,108,330,2015-08-08T20:57:20Z,2026-03-01T07:15:38Z,2024-04-18T03:26:59Z,683,0,45,OK,NO_COMMIT_365D,"No commits for 683 days; 108 open issues, 47607★",2026-03-02T04:49:16.548590+00:00
vercel/hyper,https://github.com/vercel/hyper,A terminal built on web technologies,https://hyper.is,"css,html,hyper,javascript,linux,macos,react,terminal,terminal-emulators",0,0,0,MIT,TypeScript,44687,3542,44687,1025,24532,2016-07-01T06:01:21Z,2026-03-02T04:09:44Z,2024-08-14T03:32:57Z,565,0,45,OK,NO_COMMIT_365D,"No commits for 565 days; 1025 open issues, 44687★",2026-03-02T04:49:17.530717+00:00
coqui-ai/TTS,https://github.com/coqui-ai/TTS,"🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production",http://coqui.ai,"deep-learning,glow-tts,hifigan,melgan,multi-speaker-tts,python,pytorch,speaker-encoder,speaker-encodings,speech,speech-synthesis,tacotron,text-to-speech,tts,tts-model,vocoder,voice-cloning,voice-conversion,voice-synthesis",0,0,0,MPL-2.0,Python,44678,5977,44678,6,170196,2020-05-20T15:45:28Z,2026-03-02T02:41:12Z,2024-08-16T12:07:14Z,562,0,45,OK,NO_COMMIT_365D,"No commits for 562 days; 6 open issues, 44678★",2026-03-02T04:49:16.548864+00:00
astaxie/build-web-application-with-golang,https://github.com/astaxie/build-web-application-with-golang,A golang ebook intro how to build a web with golang,,,0,0,0,BSD-3-Clause,Go,44161,10542,44161,137,38293,2012-08-02T11:49:35Z,2026-03-01T22:17:55Z,2024-05-12T00:47:46Z,659,0,45,OK,NO_COMMIT_365D,"No commits for 659 days; 137 open issues, 44161★",2026-03-02T04:49:17.900361+00:00
zai-org/ChatGLM-6B,https://github.com/zai-org/ChatGLM-6B,ChatGLM-6B: An Open Bilingual Dialogue Language Model | 开源双语对话语言模型,,,0,0,0,Apache-2.0,Python,41229,5209,41229,603,9362,2023-03-13T12:00:18Z,2026-03-02T04:45:32Z,2024-06-27T04:05:25Z,613,0,45,OK,NO_COMMIT_365D,"No commits for 613 days; 603 open issues, 41229★",2026-03-02T04:49:16.670130+00:00
goabstract/Awesome-Design-Tools,https://github.com/goabstract/Awesome-Design-Tools,The best design tools and plugins for everything 👉,,"animations,awesome,awesome-list,design,design-systems,design-tools,font-awesome,ui-design",0,0,0,MIT,JavaScript,39157,2199,39157,118,19220,2019-02-12T13:55:30Z,2026-03-02T03:25:45Z,2024-07-28T19:57:31Z,581,0,45,OK,NO_COMMIT_365D,"No commits for 581 days; 118 open issues, 39157★",2026-03-02T04:49:17.039039+00:00
httpie/cli,https://github.com/httpie/cli,"🥧 HTTPie CLI  — modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more.",https://httpie.io,"api,api-client,api-testing,cli,client,curl,debugging,developer-tools,development,devops,http,http-client,httpie,json,python,rest,rest-api,terminal,usability,web",0,0,0,BSD-3-Clause,Python,37621,3819,37621,247,6925,2012-02-25T12:39:13Z,2026-03-01T20:36:37Z,2024-12-17T17:30:35Z,439,0,45,OK,NO_COMMIT_365D,"No commits for 439 days; 247 open issues, 37621★",2026-03-02T04:49:16.670896+00:00
LAION-AI/Open-Assistant,https://github.com/LAION-AI/Open-Assistant,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",https://open-assistant.io,"ai,assistant,chatgpt,discord-bot,language-model,machine-learning,nextjs,python,rlhf",0,0,0,Apache-2.0,Python,37446,3307,37446,294,35477,2022-12-13T05:24:17Z,2026-03-02T00:28:27Z,2024-08-17T01:55:35Z,562,0,45,OK,NO_COMMIT_365D,"No commits for 562 days; 294 open issues, 37446★",2026-03-02T04:49:16.670944+00:00
fxsjy/jieba,https://github.com/fxsjy/jieba,结巴中文分词,,,0,0,0,MIT,Python,34772,6712,34772,697,56033,2012-09-29T07:52:01Z,2026-03-02T02:01:40Z,2024-08-21T09:23:45Z,557,0,45,OK,NO_COMMIT_365D,"No commits for 557 days; 697 open issues, 34772★",2026-03-02T04:49:16.671990+00:00
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way,本文原文由知名 Hacker Eric S. Raymond 所撰寫，教你如何正確的提出技術問題並獲得你滿意的答案。,,"rtfm,stfw,translation",0,0,0,MIT,JavaScript,34629,5785,34629,11,380,2015-03-28T16:52:40Z,2026-03-02T03:18:42Z,2025-01-01T19:14:38Z,424,0,45,OK,NO_COMMIT_365D,"No commits for 424 days; 11 open issues, 34629★",2026-03-02T04:49:17.039857+00:00
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,https://github.com/RVC-Project/Retrieval-based-Voice-Conversion-WebUI,Easily train a good VC model with voice data <= 10 mins!,,"audio-analysis,change,conversational-ai,conversion,converter,retrieval-model,retrieve-data,rvc,so-vits-svc,sovits,vc,vits,voice,voice-conversion,voice-converter,voiceconversion",0,0,0,MIT,Python,34622,4911,34622,710,14585,2023-03-27T09:59:10Z,2026-03-02T02:42:13Z,2024-11-24T15:09:44Z,462,0,45,OK,NO_COMMIT_365D,"No commits for 462 days; 710 open issues, 34622★",2026-03-02T04:49:16.792207+00:00
xinntao/Real-ESRGAN,https://github.com/xinntao/Real-ESRGAN,Real-ESRGAN aims at developing Practical Algorithms for General Image/Video Restoration.,,"amine,denoise,esrgan,image-restoration,jpeg-compression,pytorch,real-esrgan,super-resolution",0,0,0,BSD-3-Clause,Python,34472,4270,34472,634,5514,2021-07-19T03:23:30Z,2026-03-02T03:40:15Z,2024-08-06T13:15:18Z,572,0,45,OK,NO_COMMIT_365D,"No commits for 572 days; 634 open issues, 34472★",2026-03-02T04:49:16.792448+00:00
ehang-io/nps,https://github.com/ehang-io/nps,"一款轻量级、高性能、功能强大的内网穿透代理服务器。支持tcp、udp、socks5、http等几乎所有流量转发，可用来访问内网网站、本地支付接口调试、ssh访问、远程桌面，内网dns解析、内网socks5代理等等……，并带有功能强大的web管理端。a lightweight, high-performance, powerful intranet penetration proxy server, with a powerful web management terminal.",https://ehang.io/nps/documents,"dns,firewall,go,gzip,http,https,nat,nps,snnapy,socks,socks5,ssh,tcp,tunnel,udp",0,0,0,GPL-3.0,Go,33935,6082,33935,526,9168,2018-11-04T13:22:51Z,2026-03-02T02:32:33Z,2024-05-30T03:51:08Z,641,0,45,OK,NO_COMMIT_365D,"No commits for 641 days; 526 open issues, 33935★",2026-03-02T04:49:17.901180+00:00
